seed_ticker_raw,seed_ticker,seed_name,franchise_locations,total_locations,market_cap_2018_screen,ebitda_to_net_sales_lf,roic_lf,fcf_t12m,roic_wacc_ratio,avg_daily_price_6m,audit_status,current_ticker,successor_tickers,price_history_treatment,notes
BLMN US Equity,BLMN,BLOOMIN' BRANDS INC,280,1489,2137704704,7.4867467880249,10.6427793502808,148410000,1.57500004768372,19.8106589649999,pending_provider_check,BLMN,,use_adjusted_price_series_pending_provider_check,"Needs provider lookup for current listing, corporate actions, and adjusted price continuity."
PZZA US Equity,PZZA,PAPA JOHN'S INTL INC,4359,5101,1936502016,10.3532695770264,33.2493476867676,83197000,2.83500003814697,63.0699999313946,pending_provider_check,PZZA,,use_adjusted_price_series_pending_provider_check,"Needs provider lookup for current listing, corporate actions, and adjusted price continuity."
EAT US Equity,EAT,BRINKER INTERNATIONAL INC,685,1682,1595731968,12.0176153182983,19.0946655273438,200382000,2.93199992179871,34.7420154837675,pending_provider_check,EAT,,use_adjusted_price_series_pending_provider_check,"Needs provider lookup for current listing, corporate actions, and adjusted price continuity."
HTZ US Equity,HTZ,HERTZ GLOBAL HOLDINGS INC,,,1522617344,24.8684844970703,-1.87701296806335,-8093999872,1.12699997425079,22.0331395319266,bankruptcy_relisted,HTZ,HTZ,bankruptcy_do_not_splice_old_and_new_series,Old Hertz equity went through bankruptcy; current HTZ is not a clean continuation without adjustment.
DIN US Equity,DIN,DINEEQUITY INC,3722,3722,1367481216,28.2352542877197,-19.9313182830811,52363000,-3.62700009346008,49.0651162317557,pending_provider_check,DIN,,use_adjusted_price_series_pending_provider_check,"Needs provider lookup for current listing, corporate actions, and adjusted price continuity."
WING US Equity,WING,WINGSTOP INC,1110,1133,1319066624,36.6731491088867,38.7621154785156,24514000,4.39699983596802,39.207713178886,pending_provider_check,WING,,use_adjusted_price_series_pending_provider_check,"Needs provider lookup for current listing, corporate actions, and adjusted price continuity."
RMAX US Equity,RMAX,RE/MAX HOLDINGS INC-CL A,,,978643648,109.086135864258,13.8412532806396,61090000,3.38499999046326,55.0693796734477,pending_provider_check,RMAX,,use_adjusted_price_series_pending_provider_check,"Needs provider lookup for current listing, corporate actions, and adjusted price continuity."
DENN US Equity,DENN,DENNY'S CORP,1557,1735,966641920,18.5093612670898,26.335506439209,52863000,4.46999979019165,13.4330232457597,pending_provider_check,DENN,,use_adjusted_price_series_pending_provider_check,"Needs provider lookup for current listing, corporate actions, and adjusted price continuity."
SONC US Equity,SONC,SONIC CORP,3360,3588,966066304,30.1760444641113,17.6155872344971,42979000,2.07399988174438,25.5206201242846,acquired_private,,Inspire Brands,cash_acquisition_stop_series,Sonic was acquired by Inspire Brands in 2018.
MTYFF US Equity,MTYFF,MTY FOOD GROUP INC,,,846430080,32.0843315124512,7.921067237854,86677000,,40.9209091423094,pending_provider_check,MTYFF,,use_adjusted_price_series_pending_provider_check,"Needs provider lookup for current listing, corporate actions, and adjusted price continuity."
RUTH US Equity,RUTH,RUTH'S HOSPITALITY GROUP INC,76,153,767880000,15.9641590118408,27.2699718475342,40816000,3.02900004386902,21.5447674684746,acquired_public,,DRI,cash_acquisition_stop_series,Ruth's Hospitality Group was acquired by Darden in 2023.
FLWS US Equity,FLWS,1-800-FLOWERS.COM INC-CL A,,,751855744,17.7046642303467,10.9150638580322,35919000,1.00499999523163,10.3695736448894,pending_provider_check,FLWS,,use_adjusted_price_series_pending_provider_check,"Needs provider lookup for current listing, corporate actions, and adjusted price continuity."
RGS US Equity,RGS,REGIS CORP,3929,8794,751337472,-8.69228363037109,4.09771680831909,-9016000,0.43099999427795405,15.2234108577403,pending_provider_check,RGS,,use_adjusted_price_series_pending_provider_check,"Needs provider lookup for current listing, corporate actions, and adjusted price continuity."
RRGB US Equity,RRGB,RED ROBIN GOURMET BURGERS,86,566,695188032,8.82773017883301,5.33889579772949,73076000,1.09099996089935,56.719379839047,pending_provider_check,RRGB,,use_adjusted_price_series_pending_provider_check,"Needs provider lookup for current listing, corporate actions, and adjusted price continuity."
TACO US Equity,TACO,DEL TACO RESTAURANTS INC,253,558,487333152,13.3582010269165,4.94759082794189,9380000,0.5970000028610231,13.1287209192912,acquired_public,,JACK,cash_acquisition_stop_series,Del Taco was acquired by Jack in the Box in 2022.
WINA US Equity,WINA,WINMARK CORP,1211,1211,486917984,56.5747756958008,67.4670639038086,-4143500,6.74399995803833,132.212790200877,pending_provider_check,WINA,,use_adjusted_price_series_pending_provider_check,"Needs provider lookup for current listing, corporate actions, and adjusted price continuity."
BOJA US Equity,BOJA,BOJANGLES' INC,,,485607040,11.246018409729,9.52040195465088,37116000,1.05299997329712,12.6348837401516,acquired_private,,Durational Capital Management; The Jordan Company,cash_acquisition_stop_series,Bojangles was taken private in 2019.
FRGI US Equity,FRGI,FIESTA RESTAURANT GROUP,38,350,460590880,3.32285308837891,-10.6484298706055,-5046000,-1.10599994659424,18.2620154536048,acquired_private,,Authentic Restaurant Brands,cash_acquisition_stop_series,Fiesta Restaurant Group was taken private by Authentic Restaurant Brands in 2023.
RCII US Equity,RCII,RENT-A-CENTER INC,225,3968,400904800,-5.65345907211304,3.8403489589691198,45073000,0.712000012397766,10.8360464850137,ticker_changed,UPBD,UPBD,ticker_change_continuation_pending_provider_check,Rent-A-Center changed its corporate name to Upbound Group and ticker to UPBD.
LOCO US Equity,LOCO,EL POLLO LOCO HOLDINGS INC,265,473,376865952,-0.9045519828796391,2.96909809112549,21856000,0.537000000476837,10.635852717614,pending_provider_check,LOCO,,use_adjusted_price_series_pending_provider_check,"Needs provider lookup for current listing, corporate actions, and adjusted price continuity."
PBPB US Equity,PBPB,POTBELLY CORP,55,492,322627360,3.5167500972747803,2.08658289909363,84000,0.90200001001358,12.232945723127,pending_provider_check,PBPB,,use_adjusted_price_series_pending_provider_check,"Needs provider lookup for current listing, corporate actions, and adjusted price continuity."
GNC US Equity,GNC,GNC HOLDINGS INC-CL A,5532,8955,293952224,-68.3314895629883,-7.52298879623413,188385000,-4.14799976348877,5.9534496170605795,bankruptcy_acquired_private,,Harbin Pharmaceutical Group,bankruptcy_stop_series,GNC filed for bankruptcy and was later acquired; old equity should not be spliced into any live ticker.
NATH US Equity,NATH,NATHAN'S FAMOUS INC,285,290,272204928,25.7664260864258,30.9902534484863,7819000,4.02400016784668,77.6914725784183,pending_provider_check,NATH,,use_adjusted_price_series_pending_provider_check,"Needs provider lookup for current listing, corporate actions, and adjusted price continuity."
NDLS US Equity,NDLS,NOODLES & CO,66,479,254936768,-1.1382440328598,-62.5048408508301,-25275000,-6.88500022888184,5.11937983461129,pending_provider_check,NDLS,,use_adjusted_price_series_pending_provider_check,"Needs provider lookup for current listing, corporate actions, and adjusted price continuity."
RLH US Equity,RLH,RED LION HOTELS CORP,,,229173280,19.2870025634766,-0.0825849995017052,-2731000,0.11200000345706901,9.23255816910618,acquired_private,,Sonesta,cash_acquisition_stop_series,Red Lion Hotels was acquired by Sonesta in 2021.
JMBA US Equity,JMBA,JAMBA INC,843,909,134370336,-77.8491973876953,,-13851000,13.5240001678467,8.48171165377595,acquired_private,,Focus Brands,cash_acquisition_stop_series,Jamba was acquired by Focus Brands in 2018.
TAX US Equity,TAX,LIBERTY TAX INC,,,101135152,-167.965316772461,8.80779075622559,35269000,1.04900002479553,12.0226744016012,corporate_action_review,,FRG,complex_corporate_action_review,Liberty Tax became part of Franchise Group; later Franchise Group was taken private. Needs detailed corporate-action review.
