seed_ticker,seed_name,eodhd_symbol,eodhd_match_name,eodhd_match_list,eodhd_match_type,eodhd_match_count,mapping_status,needs_manual_review,review_reason,holdings_snapshot_count,first_snapshot,last_snapshot,min_weight_pct,max_weight_pct,bloomberg_exception_count,provider,provider_price_file,provider_row_count,provider_first_date,provider_last_date,validation_status,validation_grade,validation_comparable_snapshots,validation_missing_snapshots,validation_max_abs_pct_difference,validation_avg_abs_pct_difference,corporate_action_status,corporate_action_treatment,corporate_action_notes
CAR,AVIS BUDGET GROUP INC,CAR.US,Avis Budget Group Inc,active,Common Stock,2,approved_for_reconstruction,no,,21,2007-12-31,2017-12-31,1.1,2.26,0,eodhd,data-sources\franchise-index\market-data\eodhd\prices\CAR.US.json,4623,2007-12-31,2026-05-15,validated_against_holdings,pass_exact,21,0,0,0,pending_provider_check,use_adjusted_price_series_pending_provider_check,"Needs provider lookup for current listing, corporate actions, and adjusted price continuity."
CASY,CASEY'S GENERAL STORES INC,CASY.US,Caseys General Stores Inc,active,Common Stock,1,approved_for_reconstruction,no,,21,2007-12-31,2017-12-31,1.26,2.07,0,eodhd,data-sources\franchise-index\market-data\eodhd\prices\CASY.US.json,4623,2007-12-31,2026-05-15,validated_against_holdings,pass_exact,21,0,0.00031328320802009906,0.000014918248000957098,,provider_adjusted_price_series,
CEC,CEC ENTERTAINMENT INC,CEC.US,Cec Entertainment Inc,delisted,Common Stock,1,approved_for_reconstruction,no,,13,2007-12-31,2013-12-31,1.46,1.69,8,eodhd,data-sources\franchise-index\market-data\eodhd\prices\CEC.US.json,1625,2007-12-31,2018-12-27,validated_against_holdings,pass_exact,13,0,0,0,,price_series_stops_at_delisting_or_acquisition,
CHE,CHEMED CORP,CHE.US,Chemed Corp,active,Common Stock,1,approved_for_reconstruction,no,,21,2007-12-31,2017-12-31,1.38,1.8,0,eodhd,data-sources\franchise-index\market-data\eodhd\prices\CHE.US.json,4623,2007-12-31,2026-05-15,validated_against_holdings,pass_exact,21,0,0,0,pending_provider_check,use_adjusted_price_series_pending_provider_check,"Needs provider lookup for current listing, corporate actions, and adjusted price continuity."
CHH,CHOICE HOTELS INTL INC,CHH.US,Choice Hotels International Inc,active,Common Stock,1,approved_for_reconstruction,no,,21,2007-12-31,2017-12-31,1.43,2.03,0,eodhd,data-sources\franchise-index\market-data\eodhd\prices\CHH.US.json,4623,2007-12-31,2026-05-15,validated_against_holdings,pass_exact,21,0,0,0,pending_provider_check,use_adjusted_price_series_pending_provider_check,"Needs provider lookup for current listing, corporate actions, and adjusted price continuity."
CHUX,O'CHARLEYS INC,CHUX.US,O'Charley's LLC,delisted,Common Stock,1,approved_for_reconstruction,no,,9,2007-12-31,2011-12-31,1.32,1.69,11,eodhd,data-sources\franchise-index\market-data\eodhd\prices\CHUX.US.json,1099,2007-12-31,2012-05-09,validated_against_holdings,pass_exact,9,0,0,0,,price_series_stops_at_delisting_or_acquisition,
CKR,CKE RESTAURANTS INC,CKR.US,CKE RESTAURANTS INC,delisted,Common Stock,1,manual_review_required,yes,EODHD CKR.US does not match Bloomberg holdings prices after 2007; no reliable alternate symbol found yet. | Provider closes differ from Bloomberg holdings snapshots by more than 5%.,6,2007-12-31,2010-06-30,1.64,1.67,15,eodhd,data-sources\franchise-index\market-data\eodhd\prices\CKR.US.json,2510,2007-12-31,2017-12-21,validated_against_holdings,review,6,0,0.8204309656823623,0.6390502017821542,,external_price_history_needed,
CSH,CASH AMERICA INTL INC,CSH_old.US,Listed Funds Trust,delisted,ETF,2,approved_for_reconstruction,no,"Old Cash America maps to CSH_old.US, not current/reused CSH.US.",18,2007-12-31,2016-06-30,1.35,1.69,2,eodhd,data-sources\franchise-index\market-data\eodhd\prices\CSH_OLD.US.json,2185,2007-12-31,2016-09-01,validated_against_holdings,pass_exact,18,0,0,0,,price_series_stops_at_delisting_or_acquisition,
DAVE,FAMOUS DAVE'S OF AMERICA,DAVE_old.US,Famous Daves of America,delisted,Common Stock,2,approved_for_reconstruction,no,,21,2007-12-31,2017-12-31,1.34,2.54,0,eodhd,data-sources\franchise-index\market-data\eodhd\prices\DAVE_OLD.US.json,2949,2007-12-31,2019-09-20,validated_against_holdings,pass_minor_difference,21,0,0.013698630136986254,0.0015517755256154902,,price_series_stops_at_delisting_or_acquisition,
DENN,DENNY'S CORP,DENN.US,Dennys Corp,delisted,Common Stock,1,approved_for_reconstruction,no,,21,2007-12-31,2017-12-31,1.43,1.71,0,eodhd,data-sources\franchise-index\market-data\eodhd\prices\DENN.US.json,4543,2007-12-31,2026-01-21,validated_against_holdings,pass_exact,21,0,0.0045045045045046085,0.00021450021450021946,pending_provider_check,use_adjusted_price_series_pending_provider_check,"Needs provider lookup for current listing, corporate actions, and adjusted price continuity."
DIN,DINEEQUITY INC,DIN.US,Dine Brands Global Inc,active,Common Stock,1,approved_for_reconstruction,no,,21,2007-12-31,2017-12-31,1.29,2.44,0,eodhd,data-sources\franchise-index\market-data\eodhd\prices\DIN.US.json,4623,2007-12-31,2026-05-15,validated_against_holdings,pass_exact,21,0,0,0,pending_provider_check,use_adjusted_price_series_pending_provider_check,"Needs provider lookup for current listing, corporate actions, and adjusted price continuity."
DNKN,DUNKIN' BRANDS GROUP INC,DNKN.US,Dunkin' Brands Group Inc,delisted,Common Stock,1,approved_for_reconstruction,no,,12,2012-06-30,2017-12-31,1.43,1.99,21,eodhd,data-sources\franchise-index\market-data\eodhd\prices\DNKN.US.json,2368,2011-07-27,2020-12-21,validated_against_holdings,pass_exact,12,0,0,0,acquired_private,cash_acquisition_stop_series,Dunkin' Brands was acquired by Inspire Brands in 2020.
DPZ,DOMINO'S PIZZA INC,DPZ.US,Domino's Pizza Inc Common Stock,active,Common Stock,1,approved_for_reconstruction,no,,21,2007-12-31,2017-12-31,1.26,2.37,0,eodhd,data-sources\franchise-index\market-data\eodhd\prices\DPZ.US.json,4623,2007-12-31,2026-05-15,validated_against_holdings,pass_exact,21,0,0,0,pending_provider_check,use_adjusted_price_series_pending_provider_check,"Needs provider lookup for current listing, corporate actions, and adjusted price continuity."
DTGF,DOLLAR THRIFTY AUTOMOTIVE GP,,,,,0,manual_review_required,yes,Dollar Thrifty old listing not found in EODHD with correct 2007-2012 history. DTG/DTG_old are reused or unrelated later tickers. | No EODHD symbol match. | No comparable holdings snapshots validated against provider prices.,10,2007-12-31,2012-06-30,1.64,1.69,10,eodhd,,0,,,missing_price_file,review,0,10,,,,external_price_history_needed,
EAT,BRINKER INTERNATIONAL INC,EAT.US,Brinker International Inc,active,Common Stock,1,approved_for_reconstruction,no,,21,2007-12-31,2017-12-31,1.43,1.95,0,eodhd,data-sources\franchise-index\market-data\eodhd\prices\EAT.US.json,4623,2007-12-31,2026-05-15,validated_against_holdings,pass_exact,21,0,0,0,pending_provider_check,use_adjusted_price_series_pending_provider_check,"Needs provider lookup for current listing, corporate actions, and adjusted price continuity."
FLWS,1-800-FLOWERS.COM INC-CL A,FLWS.US,1-800 FLOWERS.COM Inc,active,Common Stock,1,approved_for_reconstruction,no,,21,2007-12-31,2017-12-31,1.25,2.27,0,eodhd,data-sources\franchise-index\market-data\eodhd\prices\FLWS.US.json,4623,2007-12-31,2026-05-15,validated_against_holdings,pass_exact,21,0,0,0,pending_provider_check,use_adjusted_price_series_pending_provider_check,"Needs provider lookup for current listing, corporate actions, and adjusted price continuity."
FRGI,FIESTA RESTAURANT GROUP,FRGI.US,Fiesta Restaurant Group Inc,delisted,Common Stock,1,approved_for_reconstruction,no,,11,2012-12-31,2017-12-31,1.29,2.96,21,eodhd,data-sources\franchise-index\market-data\eodhd\prices\FRGI.US.json,2902,2012-04-26,2023-11-16,validated_against_holdings,pass_exact,11,0,0.0009886594940389335,0.0001499634569777722,acquired_private,cash_acquisition_stop_series,Fiesta Restaurant Group was taken private by Authentic Restaurant Brands in 2023.
FRS,FRISCH'S RESTAURANTS INC,FRS.US,Frisch's Restaurants Inc,delisted,Common Stock,1,manual_review_required,yes,EODHD FRS.US does not match Bloomberg holdings prices; no reliable alternate symbol found yet. | Provider closes differ from Bloomberg holdings snapshots by more than 5%.,16,2007-12-31,2015-06-30,1.35,2.1,5,eodhd,data-sources\franchise-index\market-data\eodhd\prices\FRS.US.json,2221,2008-01-02,2020-07-08,validated_against_holdings,review,14,2,0.9329216654904728,0.9042339467640436,,external_price_history_needed,
FRSH,PAPA MURPHY'S HOLDINGS INC,FRSH_old.US,Freshworks Inc,active,Common Stock,3,approved_for_reconstruction,no,"Old Papa Murphy's maps to FRSH_old.US, not current Freshworks FRSH.US.",8,2014-06-30,2017-12-31,0.89,1.73,21,eodhd,data-sources\franchise-index\market-data\eodhd\prices\FRSH_OLD.US.json,1273,2014-05-02,2019-05-22,validated_against_holdings,pass_exact,8,0,0.0007541478129713264,0.0000942684766214158,,price_series_stops_at_delisting_or_acquisition,
GNC,GNC HOLDINGS INC-CL A,GNC.US,GNC Holdings Inc,delisted,Common Stock,1,approved_for_reconstruction,no,,14,2011-06-30,2017-12-31,0.62,2.34,10,eodhd,data-sources\franchise-index\market-data\eodhd\prices\GNC.US.json,2345,2011-04-01,2020-07-27,validated_against_holdings,pass_exact,14,0,0,0,bankruptcy_acquired_private,bankruptcy_stop_series,GNC filed for bankruptcy and was later acquired; old equity should not be spliced into any live ticker.
H,HYATT HOTELS CORP - CL A,H.US,Hyatt Hotels Corporation,active,Common Stock,1,approved_for_reconstruction,no,,17,2009-12-31,2017-12-31,1.38,1.84,7,eodhd,data-sources\franchise-index\market-data\eodhd\prices\H.US.json,4156,2009-11-05,2026-05-15,validated_against_holdings,pass_exact,17,0,0,0,pending_provider_check,use_adjusted_price_series_pending_provider_check,"Needs provider lookup for current listing, corporate actions, and adjusted price continuity."
HLT,HILTON WORLDWIDE HOLDINGS IN,HLT.US,Hilton Worldwide Holdings Inc,active,Common Stock,1,approved_for_reconstruction,no,,9,2013-12-31,2017-12-31,1.43,1.82,21,eodhd,data-sources\franchise-index\market-data\eodhd\prices\HLT.US.json,3124,2013-12-12,2026-05-15,validated_against_holdings,pass_exact,9,0,0.00014953271028035736,0.0001146411399689294,pending_provider_check,use_adjusted_price_series_pending_provider_check,"Needs provider lookup for current listing, corporate actions, and adjusted price continuity."
HOT,STARWOOD HOTELS & RESORTS WO,HOT.US,Starwood Hotels & Resorts Worldwide Inc,delisted,Common Stock,1,approved_for_reconstruction,no,,18,2007-12-31,2016-06-30,1.43,1.76,2,eodhd,data-sources\franchise-index\market-data\eodhd\prices\HOT.US.json,2321,2007-12-31,2017-03-20,validated_against_holdings,pass_exact,18,0,0,0,,price_series_stops_at_delisting_or_acquisition,
HRB,H&R BLOCK INC,HRB.US,H&R Block Inc,active,Common Stock,1,approved_for_reconstruction,no,,21,2007-12-31,2017-12-31,1.21,2,0,eodhd,data-sources\franchise-index\market-data\eodhd\prices\HRB.US.json,4623,2007-12-31,2026-05-15,validated_against_holdings,pass_exact,21,0,0,0,pending_provider_check,use_adjusted_price_series_pending_provider_check,"Needs provider lookup for current listing, corporate actions, and adjusted price continuity."
HTZ,HERTZ GLOBAL HOLDINGS INC,HTZ_old.US,Hertz Global Holdings Inc,active,Common Stock,2,approved_for_reconstruction,no,Use old Hertz pre-bankruptcy history. Do not splice into current post-bankruptcy HTZ.,21,2007-12-31,2017-12-31,0.68,2.7,0,eodhd,data-sources\franchise-index\market-data\eodhd\prices\HTZ_OLD.US.json,3288,2007-12-31,2021-01-28,validated_against_holdings,pass_exact,21,0,0,0,bankruptcy_relisted,bankruptcy_do_not_splice_old_and_new_series,Old Hertz equity went through bankruptcy; current HTZ is not a clean continuation without adjustment.
IHG,INTERCONTINENTAL HOTELS-ADR,IHG.US,InterContinental Hotels Group PLC ADR,active,Common Stock,1,approved_for_reconstruction,no,,21,2007-12-31,2017-12-31,1.32,1.95,0,eodhd,data-sources\franchise-index\market-data\eodhd\prices\IHG.US.json,4623,2007-12-31,2026-05-15,validated_against_holdings,pass_exact,21,0,0.000009699321047504067,0.000001673947316721254,pending_provider_check,use_adjusted_price_series_pending_provider_check,"Needs provider lookup for current listing, corporate actions, and adjusted price continuity."
JACK,JACK IN THE BOX INC,JACK.US,Jacktel AS,active,Common Stock,1,approved_for_reconstruction,no,,21,2007-12-31,2017-12-31,1.41,1.91,0,eodhd,data-sources\franchise-index\market-data\eodhd\prices\JACK.US.json,4623,2007-12-31,2026-05-15,validated_against_holdings,pass_exact,21,0,0.0000035211267605551743,1.6767270288357972e-7,pending_provider_check,use_adjusted_price_series_pending_provider_check,"Needs provider lookup for current listing, corporate actions, and adjusted price continuity."
JMBA,JAMBA INC,JMBA.US,Jamba Inc,delisted,Common Stock,1,approved_for_reconstruction,no,,21,2007-12-31,2017-12-31,1.08,2.14,0,eodhd,data-sources\franchise-index\market-data\eodhd\prices\JMBA.US.json,2695,2007-12-31,2018-09-12,validated_against_holdings,pass_minor_difference,21,0,0.005102040816326535,0.00024295432458697788,acquired_private,cash_acquisition_stop_series,Jamba was acquired by Focus Brands in 2018.
KKD,KRISPY KREME DOUGHNUTS INC,KKD.US,Krispy Kreme Doughnuts Inc,delisted,Common Stock,1,approved_for_reconstruction,no,,18,2007-12-31,2016-06-30,1.21,2.45,2,eodhd,data-sources\franchise-index\market-data\eodhd\prices\KKD.US.json,2159,2007-12-31,2016-07-27,validated_against_holdings,pass_exact,18,0,0,0,,price_series_stops_at_delisting_or_acquisition,
LOCO,EL POLLO LOCO HOLDINGS INC,LOCO.US,El Pollo Loco Holdings Inc,active,Common Stock,1,approved_for_reconstruction,no,,7,2014-12-31,2017-12-31,1.01,1.52,21,eodhd,data-sources\franchise-index\market-data\eodhd\prices\LOCO.US.json,2970,2014-07-25,2026-05-15,validated_against_holdings,pass_exact,7,0,0,0,pending_provider_check,use_adjusted_price_series_pending_provider_check,"Needs provider lookup for current listing, corporate actions, and adjusted price continuity."
LQ,LA QUINTA HOLDINGS INC,LQ.US,La Quinta Holdings Inc,delisted,Common Stock,1,approved_for_reconstruction,no,,8,2014-06-30,2017-12-31,1.43,1.76,21,eodhd,data-sources\franchise-index\market-data\eodhd\prices\LQ.US.json,1043,2014-04-09,2018-05-30,validated_against_holdings,pass_exact,8,0,0,0,acquired_public,acquisition_and_spin_review,La Quinta's hotel franchising and management business was acquired by Wyndham; handle separately from WH spin history.
LUB,LUBY'S INC,LUB.US,Lubys Inc,delisted,Common Stock,1,approved_for_reconstruction,no,,21,2007-12-31,2017-12-31,1.19,2.13,0,eodhd,data-sources\franchise-index\market-data\eodhd\prices\LUB.US.json,3629,2007-12-31,2022-05-27,validated_against_holdings,pass_exact,21,0,0,0,,price_series_stops_at_delisting_or_acquisition,
LZB,LA-Z-BOY INC,LZB.US,La-Z-Boy Incorporated,active,Common Stock,1,approved_for_reconstruction,no,,21,2007-12-31,2017-12-31,1.36,2.12,0,eodhd,data-sources\franchise-index\market-data\eodhd\prices\LZB.US.json,4623,2007-12-31,2026-05-15,validated_against_holdings,pass_exact,21,0,0,0,,provider_adjusted_price_series,
MAR,MARRIOTT INTERNATIONAL -CL A,MAR.US,Marriott International Inc,active,Common Stock,1,approved_for_reconstruction,no,,21,2007-12-31,2017-12-31,1.43,1.93,0,eodhd,data-sources\franchise-index\market-data\eodhd\prices\MAR.US.json,4623,2007-12-31,2026-05-15,validated_against_holdings,pass_exact,21,0,0.0002025931928686793,0.000010212916389994759,pending_provider_check,use_adjusted_price_series_pending_provider_check,"Needs provider lookup for current listing, corporate actions, and adjusted price continuity."
MCD,MCDONALD'S CORP,MCD.US,McDonald’s Corporation,active,Common Stock,1,approved_for_reconstruction,no,,21,2007-12-31,2017-12-31,1.28,2.12,0,eodhd,data-sources\franchise-index\market-data\eodhd\prices\MCD.US.json,4623,2007-12-31,2026-05-15,validated_against_holdings,pass_exact,21,0,0,0,pending_provider_check,use_adjusted_price_series_pending_provider_check,"Needs provider lookup for current listing, corporate actions, and adjusted price continuity."
MDS,MIDAS INC,MDS.US,Midas Inc,delisted,Common Stock,1,manual_review_required,yes,EODHD MDS.US does not consistently match Bloomberg holdings prices; no reliable alternate symbol found yet. | Provider closes differ from Bloomberg holdings snapshots by more than 5%.,9,2007-12-31,2011-12-31,1.64,2.39,11,eodhd,data-sources\franchise-index\market-data\eodhd\prices\MDS.US.json,2460,2007-12-31,2017-10-05,validated_against_holdings,review,9,0,0.9247232824427482,0.5557924511559704,,external_price_history_needed,
MTY CN,MTY FOOD GROUP INC,MTY.TO,,,,0,approved_for_reconstruction,no,Canadian MTY listing maps to EODHD Toronto symbol MTY.TO.,1,2007-12-31,2007-12-31,1.67,1.67,0,eodhd,data-sources\franchise-index\market-data\eodhd\prices\MTY.TO.json,4606,2007-12-31,2026-05-15,validated_against_holdings,pass_exact,1,0,0,0,,provider_adjusted_price_series,
MTYFF,MTY FOOD GROUP INC,MTYFF.US,MTY Food Group Inc,active,Common Stock,1,approved_for_reconstruction,no,,20,2008-06-30,2017-12-31,1.32,2.21,0,eodhd,data-sources\franchise-index\market-data\eodhd\prices\MTYFF.US.json,1737,2008-01-18,2026-05-15,validated_against_holdings,pass_exact,11,9,0.0003490401396160174,0.00011579487908752315,pending_provider_check,use_adjusted_price_series_pending_provider_check,"Needs provider lookup for current listing, corporate actions, and adjusted price continuity."
NATH,NATHAN'S FAMOUS INC,NATH.US,Nathans Famous Inc,active,Common Stock,1,approved_for_reconstruction,no,,21,2007-12-31,2017-12-31,1.43,2.04,0,eodhd,data-sources\franchise-index\market-data\eodhd\prices\NATH.US.json,4602,2007-12-31,2026-05-15,validated_against_holdings,pass_minor_difference,21,0,0.006716417910447751,0.00040135543343485923,pending_provider_check,use_adjusted_price_series_pending_provider_check,"Needs provider lookup for current listing, corporate actions, and adjusted price continuity."
NDLS,NOODLES & CO,NDLS.US,Noodles & Company,active,Common Stock,1,approved_for_reconstruction,no,,9,2013-12-31,2017-12-31,0.58,1.89,21,eodhd,data-sources\franchise-index\market-data\eodhd\prices\NDLS.US.json,3240,2013-06-28,2026-05-15,validated_against_holdings,pass_exact,9,0,0,0,pending_provider_check,use_adjusted_price_series_pending_provider_check,"Needs provider lookup for current listing, corporate actions, and adjusted price continuity."
PBPB,POTBELLY CORP,PBPB.US,Potbelly Co,delisted,Common Stock,1,approved_for_reconstruction,no,,9,2013-12-31,2017-12-31,1.43,1.56,21,eodhd,data-sources\franchise-index\market-data\eodhd\prices\PBPB.US.json,3031,2013-10-04,2025-10-22,validated_against_holdings,pass_exact,9,0,0,0,pending_provider_check,use_adjusted_price_series_pending_provider_check,"Needs provider lookup for current listing, corporate actions, and adjusted price continuity."
PLKI,POPEYES LOUISIANA KITCHEN IN,PLKI.US,Popeyes Louisiana Kitchen Inc,delisted,Common Stock,1,approved_for_reconstruction,no,,19,2007-12-31,2016-12-31,1.43,2.25,2,eodhd,data-sources\franchise-index\market-data\eodhd\prices\PLKI.US.json,2326,2007-12-31,2017-03-27,validated_against_holdings,pass_exact,19,0,0,0,,price_series_stops_at_delisting_or_acquisition,
PLNT,PLANET FITNESS INC - CL A,PLNT.US,Planet Fitness Inc,active,Common Stock,1,approved_for_reconstruction,no,,5,2015-12-31,2017-12-31,1.45,2.09,21,eodhd,data-sources\franchise-index\market-data\eodhd\prices\PLNT.US.json,2710,2015-08-06,2026-05-15,validated_against_holdings,pass_exact,5,0,0,0,pending_provider_check,use_adjusted_price_series_pending_provider_check,"Needs provider lookup for current listing, corporate actions, and adjusted price continuity."
PNRA,PANERA BREAD COMPANY-CLASS A,PNRA.US,Panera Bread Company,delisted,Common Stock,1,approved_for_reconstruction,no,,20,2007-12-31,2017-06-30,1.35,1.98,0,eodhd,data-sources\franchise-index\market-data\eodhd\prices\PNRA.US.json,2403,2007-12-31,2017-07-17,validated_against_holdings,pass_exact,20,0,0.00044796177392864174,0.000022398088696432087,,price_series_stops_at_delisting_or_acquisition,
PZZA,PAPA JOHN'S INTL INC,PZZA.US,Papa John's International Inc,active,Common Stock,1,approved_for_reconstruction,no,,21,2007-12-31,2017-12-31,1.11,1.99,0,eodhd,data-sources\franchise-index\market-data\eodhd\prices\PZZA.US.json,4623,2007-12-31,2026-05-15,validated_against_holdings,pass_exact,21,0,0,0,pending_provider_check,use_adjusted_price_series_pending_provider_check,"Needs provider lookup for current listing, corporate actions, and adjusted price continuity."
QSR,RESTAURANT BRANDS INTERN,QSR.US,Restaurant Brands International Inc,active,Common Stock,1,approved_for_reconstruction,no,,7,2014-12-31,2017-12-31,1.39,1.61,21,eodhd,data-sources\franchise-index\market-data\eodhd\prices\QSR.US.json,2874,2014-12-10,2026-05-15,validated_against_holdings,pass_exact,7,0,0,0,pending_provider_check,use_adjusted_price_series_pending_provider_check,"Needs provider lookup for current listing, corporate actions, and adjusted price continuity."
RCII,RENT-A-CENTER INC,RCII.US,Rent-A-Center Inc,delisted,Common Stock,1,approved_for_reconstruction,no,,21,2007-12-31,2017-12-31,1.28,2.15,0,eodhd,data-sources\franchise-index\market-data\eodhd\prices\RCII.US.json,3859,2007-12-31,2023-04-28,validated_against_holdings,pass_exact,21,0,0.0008891523414345327,0.0000423405876873587,ticker_changed,ticker_change_continuation_pending_provider_check,Rent-A-Center changed its corporate name to Upbound Group and ticker to UPBD.
RGS,REGIS CORP,RGS.US,Regis Corporation Common Stock,active,Common Stock,1,approved_for_reconstruction,no,,21,2007-12-31,2017-12-31,1.29,2.1,0,eodhd,data-sources\franchise-index\market-data\eodhd\prices\RGS.US.json,4623,2007-12-31,2026-05-15,validated_against_holdings,pass_exact,21,0,0,0,pending_provider_check,use_adjusted_price_series_pending_provider_check,"Needs provider lookup for current listing, corporate actions, and adjusted price continuity."
RLH,RED LION HOTELS CORP,RLH.US,Red Lion Hotels Corporation,delisted,Common Stock,1,approved_for_reconstruction,no,,21,2007-12-31,2017-12-31,1.02,1.88,0,eodhd,data-sources\franchise-index\market-data\eodhd\prices\RLH.US.json,3327,2007-12-31,2021-03-18,validated_against_holdings,pass_exact,21,0,0,0,acquired_private,cash_acquisition_stop_series,Red Lion Hotels was acquired by Sonesta in 2021.
RMAX,RE/MAX HOLDINGS INC-CL A,RMAX.US,Re Max Holding,active,Common Stock,1,approved_for_reconstruction,no,,9,2013-12-31,2017-12-31,1.22,1.95,21,eodhd,data-sources\franchise-index\market-data\eodhd\prices\RMAX.US.json,3174,2013-10-02,2026-05-15,validated_against_holdings,pass_exact,9,0,0,0,pending_provider_check,use_adjusted_price_series_pending_provider_check,"Needs provider lookup for current listing, corporate actions, and adjusted price continuity."
